sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,215,1,"Hindu Primary School, Kurangani","1.Mavadipannai (R.V), Kurangkani (p) Sannathi street block 1,
2.Mavadipannai (R.V), Kurangkani (P) Kurangkani Block 2,
3.Mavadipannai (R.V), Kurangkani (P) Manjal vilai Block 3,
4.Mavadipannai (R.V), Kurangkani (P) Thottiyan kudiruppu Block 4, 999.OVERSEAS ELECTORS",General
2,215,2,Govt Higher Secondary School New Building North Portion 1st Room Thentiruperail,"1.thenthiruperai (S.G.T.P) Manalmedu, 2.thenthiruperai (S.G.T.P)
Manalmedu North Street, 3.thenthiruperai (S.G.T.P) Padara Street,
4.thenthiruperai (S.G.T.P) NaduStreet, 5.thenthiruperai (S.G.T.P) SanathiStreet, 6.thenthiruperai (S.G.T.P) Kelamadaveethi,
7.thenthiruperai (S.G.T.P) North MadaStreet, 999.OVERSEAS
ELECTORS",General
3,215,3,Govt Higher Secondary School New building west portion 2st room thenthiruperai,"1.thenthiruperai (S.G.T.P) North rathaveethni, 2.thenthiruperai
(S.G.T.P) South Street, ward-10, 3.thenthiruperai (S.G.T.P) Kasbha Maveedu pannai, 4.thenthiruperai (S.G.T.P) West Street, 999.OVERSEAS ELECTORS",General
4,215,4,"Panchayat Union Primary School New Building North Portion Ist Room, Thenthiruperai.","1.thenthiruperai (S.G.T.P) PuliamaraStreet, 2.thenthiruperai (S.G.T.P) Arundhathier Street, 3.thenthiruperai (S.G.T.P) Kaliamman Kovil Street, 4.thenthiruperai (S.G.T.P) Yadavar Street,
5.thenthiruperai (S.G.T.P) Thevar Street, 6.thenthiruperai (S.G.T.P) Pillaiyar Kovil Street, 7.thenthiruperai (S.G.T.P) Kurangkani Road,
8.thenthiruperai (S.G.T.P) Arignnar Anna Street, 9.thenthiruperai (S.G.T.P) Mahathma Gandi Road, 10.thenthiruperai (S.G.T.P) Kaleyammankovil Street Ward - 1, 11.thenthiruperai (S.G.T.P) Yadavar Street Santhu -1 Ward - 1, 12.thenthiruperai (S.G.T.P) Yadavar Street Santhu - 2 Ward - 1, 13.thenthiruperai (S.G.T.P) Yadavar Street Santhu - 3 Ward - 1, 14.thenthiruperai (S.G.T.P) Yadavar Street Santhu - 4 Ward - 1, 15.thenthiruperai (S.G.T.P)
Thevar Street - 1 Ward - 6, 999.OVERSEAS ELECTORS",General
5,215,5,"Panchayat Union Primary School New Building Middle Room, Thenthiruperai.","1.thenthiruperai (S.G.T.P) Sundarapandi vinayagar Street,
2.thenthiruperai (S.G.T.P) Sivan Kovil Street, 3.thenthiruperai (S.G.T.P) marthandam pillai Street, 4.thenthiruperai (S.G.T.P) PuduStreet, 5.thenthiruperai (S.G.T.P) TheradiStreet,
6.thenthiruperai (S.G.T.P) Authour road, 7.thenthiruperai (S.G.T.P) Subbiyar Street, 8.thenthiruperai (S.G.T.P) Marthandampillai Santhi South Street, 9.thenthiruperai (S.G.T.P) Merasupillai Street,
10.thenthiruperai (S.G.T.P) Maruthuvar Street -1 Ward - 6,
11.thenthiruperai (S.G.T.P) Maruthuvar Street - 2 Ward - 6,
12.thenthiruperai (S.G.T.P) Pandither nadu Street,
13.thenthiruperai (S.G.T.P) New Athuor road, 14.thenthiruperai (S.G.T.P) Melarathaveethi, 999.OVERSEAS ELECTORS",General
6,215,6,"T.N.D.T.A Primary School, Rajapathi","1.Rajapathy (R.V) And (P) Rajapathy kasbhanorth Block 1,
2.Rajapathy (R.V) And (P) Sethu Subramaniyapuram Block 2,
3.Rajapathy (R.V) And (P) Thiruvela vattam Blocl 3, 4.Rajapathy (R.V) And (P) Rajapathy Naduvoor Southuvoor Block 4, 5.Rajapathy (R.V) And (P) Manathi Melauvoor Block 5, 6.Rajapathy (R.V) And (P) Karavelai Block 6, 7.Rajapathy (R.V) And (P) Karutthankudiruppu Block 1, 8.Rajapathy (R.V) And (P) Manathi keelauvoor Block 5, 999.OVERSEAS ELECTORS",General
7,215,7,"TN.D.T.A Primary School East Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Thottiyankudiyiiruppu Block 1,
2.Kurukattur (R.V) And (P) Erandam Pannavellai Block 2,
3.Kurukattur (R.V) And (P) North Kottuor Block 3, 4.Kurukattur (R.V) And (P) Muthuramalingapuram Block 4, 5.Kurukattur (R.V) And (P) Kuttiyalaganoor Block 6, 6.Kurukkaatoor (R.V) And (P) Kurukkaatoor North Street Block 8, 999.OVERSEAS ELECTORS",General
8,215,8,"TN.D.T.A Primary School West Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Rasaangapuram Block 5, 2.Kurukattur (R.V) And (P) South Kottuor Block 7, 3.Kurukattur (R.V) And (P) Kurukattur Melauvor Block 9, 4.Kurukattur (R.V) And (P) Kurukattur Keelauvor Block 10, 999.OVERSEAS ELECTORS",General
9,215,9,"Panchayat Union Primary School, Keelakalamparai","1.thenthiruperai (S.G.T.P) ManathiKutti Thottam Ward 3,
2.thenthiruperai (S.G.T.P) Mela kallaampaarai, 3.thenthiruperai
(S.G.T.P) Keelakalamparai, 4.thenthiruperai (S.G.T.P) Pandimaar Street, 999.OVERSEAS ELECTORS",General
10,215,10,"Panchayat Union Primary School, Mela kadamba","1.thenthiruperai (S.G.T.P) Melakadamba vadakkuoor,
2.thenthiruperai (S.G.T.P) Melakadambha Therkkoor Ward 4,
3.thenthiruperai (S.G.T.P) Muthukrishnapuram, 4.thenthiruperai (S.G.T.P) Kuttakarai, 5.thenthiruperai (S.G.T.P) Sivasubbramaniyapuram, 6.thenthiruperai (S.G.T.P) Annanagar,
7.thenthiruperai (S.G.T.P) Sivasubbramaniyapuramsendhu-1 Ward
- 5, 8.thenthiruperai (S.G.T.P) Siva subramaniyapuram sendhu 2 Ward - 5, 999.OVERSEAS ELECTORS",General
