sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
1,109,KONNACHAL,"PANCHAYAT UNION  PRIMARY SCHOOL  (  RIGHT SIDE), KONNACHAL  -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  ANAIKATTI
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1 KOTHAMANGALAM
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1 KARUMPANKOLLI
4.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  PANAJIRA
5.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  PALLIYARA
6.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  THAIYAKUNI
,
7.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  INDCO NAGAR  ,
999.OVERSEAS ELECTORS",All  Voters
2,109,KONNACHAL,"PANCHAYAT UNION  PRIMARY SCHOOL  (  LEFT SIDE), KONNACHAL  -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  NARIVALAPU
,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1 VEETIYATKUNNU,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  THALUR  ,
4.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1 KUTHIRAMBAM  ,
5.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  ONIMOOLA  ,
6.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  1  VETTUVADI  ,
999.OVERSEAS ELECTORS",All  Voters
3,109,KONNACHAL,"PANCHAYAT UNION  PRIMARY SCHOOL  ADDL. BUILDING  ( RIGHT SIDE),  KONNACHAL -
643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  2  VETUVADI
999.OVERSEAS ELECTORS",All  Voters
4,109,KONNACHAL,"PANCHAYAT UNION  PRIMARY SCHOOL,  NEW BUILDING(LEFT SIDE),
KONNACHAL  -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  2  ANTONSERA
,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  2  KUNIL  ,
999.OVERSEAS ELECTORS",All  Voters
5,109,KAKKUNDI,"PANCHAYAT UNION  MIDDLE SCHOOL  NEW  ADDL BUILDING  (LEFT SIDE), KAKKUNDI  -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  2 MOOPPUKUNNU  2.ERUMAD(R.V), CHERANGODE (P)  -  WARD NO  2  KAKKUNDY
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  2  MANGODU
999.OVERSEAS ELECTORS",All  Voters
6,109,KONNACHAL,"GOVERNMENT HIGHER SECONDARY SCHOOL NEW ADDITIONAL  BUILDING GROUND  FLOOR, (  RIGHT SIDE)  KONNACHAL -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  VELLACHAL ,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  KAPPALA  ,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  SIRACHAAL  ,
4.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  MAANUR  ,
5.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  MUTTIL MOOLA  ,
999.OVERSEAS ELECTORS",All  Voters
7,109,KONNACHAL,"GOVERNMENT HIGHER SECONDARY SCHOOL NEW ADDITIONAL  BUILDING GROUND  FLOOR, (MIDDLE PORTION)  KONNACHAL  - 643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  KOOLAAL ,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3 KANNAMBETTA  ,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3 MATHAMANGALAM  ,
4.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3 THIRUMANGALAM ,
999.OVERSEAS ELECTORS",All  Voters
8,109,KONNACHAL,"GOVERNMENT HIGHER SECONDARY SCHOOL NEW ADDITIONAL  BUILDING  ,  ( LEFT SIDE)  KONNACHAL  - 643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  21  KAPPALA
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  3  KOOLAAL ,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  21  INDCO NAGAR  ,
4.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  21 MUTTILMOOLA  ,
999.OVERSEAS ELECTORS",All  Voters
9,109,KONNACHAL,"GOVERNMENT HIGHER SECONDARY SCHOOL ADDL.NEW  BUILDING GROUND  FLOOR  RIGHT SIDE  OF  STAIR CASE,
KONNACHAL  -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -WARD  NO  21 KONNACHAL(KOOLAL  , SCHOOL JUNCTION  ERUMAD)  , 999.OVERSEAS ELECTORS",All  Voters
10,109,KONNACHAL,"GOVERNMENT HIGHER SECONDARY SCHOOL ADDL.NEW  BUILDING, GROUND  FLOOR  (LEFT SIDE), KONNACHAL -  643239","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  21 KONNACHAL(ERUMAD  BAZAAR,  KAPPALA  ,ONIMOOLA  )  , 999.OVERSEAS ELECTORS",All  Voters
11,109,KAIYUNNI,"PANCHAYAT UNION  PRIMARY SCHOOL  (  LEFT SIDE), KAIYUNNI -  643205","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  MANAL VAYAL  ,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  KAIYUNNI  ,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  ULUVADA
4.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  MANKARAI
5.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  PAYINGAL
6.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  POTHUKOLLI
,
999.OVERSEAS ELECTORS",All  Voters
12,109,KAIYUNNI,"GOVERNMENT HIGH SCHOOL  (RIGHT WING), KAIYUNNI -  643205","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  MANALVAYAL
,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  KAIYUNNI  ,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  POTHUKOLLI
,
4  -  ERUMAD(R.V), CHERANGODE (P),  WARD  NO  4 VILAKALADI
999.OVERSEAS ELECTORS",All  Voters
13,109,KAIYUNNI,"GOVERNMENT HIGH SCHOOL  (NEW  BUILDING), KAIYUNNI -  643205","1.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  MANGKARA  ,
2.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  ULUVADU ,
3.ERUMAD(R.V), CHERANGODE (P)  -  WARD  NO  4  VILAKALADI  ,
999.OVERSEAS ELECTORS",All  Voters
14,109,KALLICHAL,"GOVERNMENT ATHIVASI BOARDING  SCHOOL (  MAIN BUILDING)LEFT WING, ( LEFT SIDE)  , KALLICHAL  - 643239","1.CHERANGODE(R.V)  And  (P)  -  WARD  NO  5  POOTHAMOOLA
2.CHERANGODE(R.V)  And  (P)  -  WARD  NO  5  KARAKOLLI  ,
3.CHERANGODE(R.V)  And  (P)  -  WARD  NO  5  CHEPANTHODU
999.OVERSEAS ELECTORS",All  Voters
15,109,KALLICHAL,"GOVERNMENT ATHIVASI BOARDING  SCHOOL (  MAIN BUILDING)RIGHT WING, ( LEFT SIDE),  KALLICHAL  -
643239","1.CHERANGODE(R.V)  And  (P)  -  WARD  NO  5  KAVAYAL  ,
2.CHERANGODE(R.V)  And  (P)  -  WARD  NO  5  PUNJAKKOLLI  ,
999.OVERSEAS ELECTORS",All  Voters
